,ISO3,Country,Year,Airports per one hundred thousand sq. km,Airports per one million inhabitants,Density of rail lines (km per one hundred sq. km),Density of road (km per one hundred sq. km),Inland waterways infrastructure investment in constant USD per inhabitant,Inland waterways infrastructure investment per GDP,Rail infrastructure investment in constant USD per inhabitant,Rail infrastructure investment per GDP,Road infrastructure investment in constant USD per inhabitant,Road infrastructure investment per GDP,Share of electrified rail lines in total rail network,Share of high-speed rail lines in total rail network,Share of inland waterways infrastructure investment in total inland transport infrastructure investment,Share of motorways in total road network,Share of rail infrastructure investment in total inland transport infrastructure investment,Share of road infrastructure investment in total inland transport infrastructure investment,Share of road infrastructure maintenance in total road infrastructure spending,Share of urban roads in total road network,Total inland transport infrastructure investment in constant USD per inhabitant,Total inland transport infrastructure investment per GDP
1155,SRB,"Serbia, Republic of",2010,3.4301394923394,0.41144158708929,4.3551337754402,50.026297736108,3.4802471668916,0.06684958164252,2.0179988174337,0.03876229768503,37.710952504202,0.72436274705696,33.578367025466,,8.0544126913525,1.1313509930748,4.670299121539,87.275288187108,50.019104224156,,43.209198488527,0.82997462638452
1156,SRB,"Serbia, Republic of",2011,3.4301394923394,0.41470264645259,4.3551337754402,50.032014635262,3.8908468195818,0.07266905493631,1.0568281075664,0.01973829949318,51.212437509856,0.95649086365885,33.578367025466,,6.9281321755655,1.3597513597514,1.881812663306,91.190055161129,37.723503965393,,56.160112437004,1.0488982180883
1157,SRB,"Serbia, Republic of",2012,3.4301394923394,0.41672008786682,4.3551337754402,51.703635947862,3.9129549042828,0.07322723363338,0.46703010147892,0.00874002465947,40.656863699016,0.76085457913907,33.578367025466,,8.6883408071749,1.3423264042459,1.0369955156951,90.27466367713,44.877353108956,,45.036848704778,0.84282183743192
1158,SRB,"Serbia, Republic of",2013,3.4301394923394,0.41875275329935,4.3551337754402,50.999313972102,2.3474275183776,0.0424876229017,1.4143552437969,0.02559933875573,42.340835701267,0.76635442267522,33.473352585981,,5.0917444531682,1.3608644964577,3.0678414609323,91.8404140859,31.622247721319,,46.102618463442,0.83444138433265
1159,SRB,"Serbia, Republic of",2014,2.2867596615596,0.28048224996129,4.3551337754402,51.46695632289,2.7283813819388,0.04994533773612,1.8119183383424,0.03316870359762,51.860254005687,0.94934598166564,33.473352585981,,4.8375081478722,1.348499322418,3.2125896265947,91.949902225533,29.790070568996,,56.400553725968,1.0324600229994
1160,SRB,"Serbia, Republic of",2015,3.4301394923394,0.42281015697109,4.3551337754402,52.238737708667,3.4893718280046,0.0624330767938,12.987353867633,0.23237433593593,78.951247132896,1.4126236807594,33.473352585981,,3.6565503013193,1.5168096655577,13.609587925512,82.733861773169,24.403462645104,,95.427972828533,1.7074310934892
1161,SRB,"Serbia, Republic of",2016,3.4301394923394,0.4250301983956,4.2716670477933,52.847015778642,6.428785225974,0.11072852279074,11.571556973358,0.19930692424939,77.93780190388,1.3423901049777,34.234475374732,,6.7009689274975,1.6032020770229,12.061476779151,81.237554293351,26.808828310315,,95.938144103211,1.6524255520178
1162,SRB,"Serbia, Republic of",2017,,,4.2716670477933,50.581980333867,5.2163330342165,0.08752939492087,6.8386914725042,0.11475236007984,76.964383875618,1.2914524258519,34.234475374732,,5.8597705028687,2.1768123149257,7.6822477219035,86.457981775228,28.573254179398,,89.019408382339,1.4937341808526
1163,SRB,"Serbia, Republic of",2018,,,4.2584815915847,,6.6923803655563,0.10688098689748,9.9756211941029,0.15931614461553,64.590974645806,1.0315533095435,34.171269561183,,8.2358659659143,,12.276331378923,79.487802655163,40.21888137452,,81.258976205465,1.2977504410566
1164,SRB,"Serbia, Republic of",2019,,,4.2584815915847,,7.0078182266421,0.10669787273583,19.848418607352,0.30220305009103,83.41060186926,1.2699721218839,34.171269561183,,6.3553270494145,,18.000351547909,75.644321402676,37.000439174352,,110.26683870325,1.6788730447108
1165,SRB,"Serbia, Republic of",2020,,,3.8113674822776,51.346901440659,6.6074163240032,0.10084603482874,22.586151098534,0.34472230424706,60.251161860636,0.91958648729262,38.208483654335,,7.3871500053231,2.0664469582257,25.251517087193,67.361332907484,46.136165322323,,89.444729283173,1.3651548263684
1166,SRB,"Serbia, Republic of",2021,,,3.8281237136977,,6.7378742878333,0.09487891646459,41.950601066911,0.59072452293361,113.64910399463,1.6003420935967,38.041239792275,,4.1505326830902,,25.841583467638,70.007883849272,32.112605542325,,162.33757934937,2.2859455329949
1167,SVK,Slovak Republic,2000,,,7.6133056133056,89.309771309771,0.3602949352074,0.00315845325112,19.095631565992,0.16739802230923,81.78695029208,0.71696888800368,41.94429273621,,0.355871886121,0.68904511383212,18.861209964413,80.782918149466,22.789115646259,,101.24287679328,0.88752536356403
1168,SVK,Slovak Republic,2001,,,7.6133056133056,89.305613305613,0.33173318120767,0.00290989272739,56.062907624096,0.49177187092833,66.678369422741,0.5848884382047,41.94429273621,,0.26954177897574,0.68907719526958,45.5525606469,54.177897574124,25.278810408922,,123.07301022804,1.0795702018604
1169,SVK,Slovak Republic,2002,,,7.6029106029106,89.345114345114,0.3142204502683,0.0026788464887,75.72712851466,0.64560200377717,81.697317069757,0.69650008706251,42.548537052229,,0.199203187251,0.70273414776033,48.00796812749,51.792828685259,20.9726443769,,157.73866603469,1.3447809373284
1170,SVK,Slovak Republic,2003,,,7.6013302847641,89.372271876949,0.29418303972988,0.00241082956211,26.770656615419,0.21938549015227,61.778438343275,0.50627420804369,42.548537052229,,0.33112582781457,0.7279577644952,30.132450331126,69.53642384106,25.531914893617,,88.843277998424,0.72807052775807
1171,SVK,Slovak Republic,2004,6.2370062370062,0.5584221224508,7.6091476091476,89.409563409563,0.27476110762906,0.0021656644513,25.003260794245,0.19707546506832,65.942665830975,0.51975946831205,42.513661202186,,0.30120481927711,0.73478119332186,27.409638554217,72.289156626506,25.465838509317,,91.220687732848,0.71900059783167
1172,SVK,Slovak Republic,2005,10.39501039501,0.93061224793669,7.5384615384615,90.95841995842,0.26216462065827,0.0019807603204,41.946339305324,0.31692165126322,94.379263436978,0.71307371534224,42.912300055157,,0.19193857965451,0.74969714977943,30.710172744722,69.097888675624,21.739130434783,,136.58776736296,1.0319761269259
1173,SVK,Slovak Republic,2006,10.39501039501,0.9305694675691,7.5384615384615,91.010395010395,0.25190794654398,0.0017742631596,56.679287972395,0.39920921090977,103.53416602957,0.72922215859517,43.491450634308,,0.15698587127159,0.74926900584795,35.321821036107,64.521193092622,24.029574861368,,160.46536194851,1.1302056326645
1174,SVK,Slovak Republic,2007,10.39501039501,0.93029798188598,7.5450103950104,91.112266112266,0.0,0.0,69.968220742318,0.45437740542965,126.77168914985,0.82326219799101,43.469049226403,,0.0,0.83285795778665,35.563816604709,64.436183395291,23.076923076923,,196.73990989216,1.2776396034207
1175,SVK,Slovak Republic,2008,10.39501039501,0.92950054403667,7.5302266112266,91.180873180873,0.23090955939102,0.00145792712446,49.414645709679,0.31199640463508,130.69481061532,0.82518675244604,43.540088883637,,0.1280409731114,0.87555292078982,27.400768245839,72.47119078105,22.145804676754,,180.34036588439,1.1386410842056
1176,SVK,Slovak Republic,2009,8.3177375753795,0.74261019314177,7.5331378665003,91.262216677064,0.4451110408906,0.00312034293692,38.947216077927,0.27303000698068,147.33175453479,1.0328335121212,43.523396728284,,0.23837902264601,0.89090411957711,20.858164481526,78.903456495828,22.48243559719,,186.72408165361,1.3089838620388
1177,SVK,Slovak Republic,2010,8.3175646170801,0.74191846761192,7.5324239462685,90.1145744526,0.65369262463105,0.0043626878677,59.486028841426,0.39700459596079,74.52095920794,0.49734641691791,43.549446805973,,0.48543689320388,0.95991877610356,44.174757281553,55.339805825243,33.84912959381,,134.660680674,0.8987137007464
1178,SVK,Slovak Republic,2011,8.3180835135585,0.74096248062383,7.5363437863916,90.230410913326,0.21439811920677,0.0013930322699,61.961056450755,0.40258632600081,92.619987497323,0.60178994059637,43.547860600092,,0.13850415512465,0.96566029038949,40.027700831025,59.83379501385,26.655348047538,,154.79544206729,1.0057692988671
1179,SVK,Slovak Republic,2012,8.3180835135585,0.73970255450729,7.5515430044918,90.240808517718,0.21288134045279,0.00135778694957,45.982369537803,0.29328198110675,66.206096880818,0.42227174131573,43.678914882637,,0.18939393939394,0.96554902638553,40.909090909091,58.901515151515,38.293650793651,,112.40134775907,0.71691150937205
1180,SVK,Slovak Republic,2013,6.2385626351689,0.5541810838415,7.5513766428215,114.00765263683,0.21151405059751,0.00134241174176,68.530552393594,0.43494140433156,76.145058215104,0.48326822703506,43.677536401504,,0.14598540145985,0.76608784473953,47.299270072993,52.554744525547,36.170212765957,,144.8871246593,0.91955204310839
1181,SVK,Slovak Republic,2014,6.2396006655574,0.55364353734667,7.5438893510815,114.00790349418,0.0,0.0,57.549178781891,0.36147170533078,114.68133452913,0.720324050478,43.722453903971,,0.0,0.76621362765666,33.414043583535,66.585956416465,24.760601915185,,172.23051331102,1.0817957558088
1182,SVK,Slovak Republic,2015,6.2393411255771,0.55311763834993,7.542051079406,118.37070005407,0.01063731825956,0.0,60.448606648058,0.36879392828659,231.93076867225,1.4149980291053,43.774502815351,,0.00363805800464,0.81349380655363,20.67396423789,79.322397704106,15.060229681145,,292.39001263856,1.783856855139
1183,SVK,Slovak Republic,2016,6.2396006655574,0.5524050056732,7.5422150582363,118.39642262895,0.02018777215213,0.00012305390707,26.56710815221,0.16193894170957,151.69455375013,0.92464920745839,43.760784072568,,0.01132351509085,0.81335090030742,14.901745859557,85.086930625352,22.247102185597,,178.2818496745,1.086711203075
1184,SVK,Slovak Republic,2017,,,7.5425145590682,118.45049916805,0.20906838764176,0.00126255055266,45.197104194584,0.27294240666016,146.60465974303,0.88533611546406,43.778652403279,,0.10888364219348,0.84634159189479,23.538830412454,76.352285945352,23.478659429795,,192.01083232526,1.1595410726769
1185,SVK,Slovak Republic,2018,,,7.5428681364393,120.07071547421,0.29156850166335,0.00171683479353,52.796007365353,0.31087727887983,145.2816116778,0.85545772045085,43.770671847629,,0.14698275738891,0.83492118482591,26.615024247868,73.237992994743,27.777255903959,,198.36918754482,1.1680518341242
1186,SVK,Slovak Republic,2019,,,7.5481572379368,120.09567387687,,,,,,,43.739422465952,,,0.8572616119982,,,,,,
1187,SVK,Slovak Republic,2020,,,7.543377703827,120.21630615641,0.19424533023775,0.00117755676155,31.220522169122,0.18926548676621,132.82848854985,0.80523472367389,43.705815725797,,0.11826685302656,0.90138408304498,19.008708740996,80.873024405978,23.541370197195,,164.24325604921,0.99567776720165
1188,SVK,Slovak Republic,2021,,,7.5425478369384,,0.0,0.0,37.466833395972,0.22329815619363,189.54811622599,1.129685672016,43.699621972631,,0.0,,16.504126031508,83.495873968492,24.439918533605,,227.01494962196,1.3529838282096
1189,SVN,Slovenia,2000,,,5.9632571996028,100.18371400199,,,13.451473372924,0.08486658071804,312.74675592049,1.9731480016944,41.88176519567,,,2.1162710016355,4.1237113402062,95.876288659794,17.516629711752,21.920999157457,326.19822929342,2.0580145824124
1190,SVN,Slovenia,2001,,,6.1022840119166,100.99304865938,,,11.561900952638,0.07092969250276,218.90532470327,1.3429355113856,41.008950366151,,,2.1386430678466,5.0167224080268,94.983277591973,18.857142857143,22.659783677483,230.46722565591,1.4138652038883
1191,SVN,Slovenia,2002,,,6.1022840119166,100.54617676266,,,14.677575907132,0.08493068488317,247.31715403518,1.4310820402813,41.008950366151,,,2.2518518518519,5.6022408963585,94.397759103641,16.79012345679,22.612345679012,261.99472994231,1.5160127251645
1192,SVN,Slovenia,2003,,,6.1022840119166,100.07944389275,,,15.026502334318,0.08198870874929,336.30743319665,1.8349853862935,41.008950366151,,,2.3665409803532,4.2769857433809,95.723014256619,13.761467889908,21.819805516968,351.33393553096,1.9169740950428
1193,SVN,Slovenia,2004,4.9652432969215,0.50074811768783,6.1022840119166,100.1588877855,,,40.412143403424,0.21355000865239,339.735985222,1.7952678693489,41.008950366151,,,2.3944080904224,10.630630630631,89.369369369369,13.438045375218,32.802895102122,380.14812862543,2.0088178780013
1194,SVN,Slovenia,2005,9.9304865938431,0.99976305615569,6.0973187686197,100.27805362463,,,27.935973676803,0.14426265861035,299.31400368003,1.5456713422538,40.960912052117,,,2.8173895820955,8.5365853658537,91.463414634146,18.032786885246,32.729253317489,327.24997735684,1.6899340008641
1195,SVN,Slovenia,2006,9.9304865938431,0.99657775199963,6.0973187686197,100.4766633565,,,8.4172847885797,0.04130873573947,371.00801414278,1.8207619675936,40.960912052117,,,2.866179086776,2.2184300341297,97.78156996587,19.635343618513,32.718916781973,379.42529893136,1.862070703333
1196,SVN,Slovenia,2007,9.9304865938431,0.99102036447747,6.0973187686197,100.27805362463,,,37.838968605409,0.17677185846755,406.46375953552,1.8988718990224,40.960912052117,,,2.8173895820955,8.5164835164835,91.483516483516,17.267080745342,32.729253317489,444.30272814093,2.07564375749
1197,SVN,Slovenia,2008,9.927430483168,0.98945439505748,6.0954423166652,101.27468207404,,,55.394687728951,0.25312652123107,400.45743004054,1.8298938097329,40.960912052117,,,3.4112630495515,12.151898734177,87.848101265823,17.577197149644,32.53933245111,455.85211776949,2.083020330964
1198,SVN,Slovenia,2009,9.9276275948337,0.98055125611067,6.0955633432279,100.76542008756,,,41.33753369306,0.19859369734767,233.09775943586,1.1198477933772,40.960912052117,,,3.679802955665,15.062761506276,84.937238493724,27.109515260323,32.339901477833,274.43529312892,1.3184414907248
1199,SVN,Slovenia,2010,14.891145724752,1.4644268745762,6.0956905024273,102.35180828146,,,73.415763593954,0.36024729904588,123.85407446003,0.60774544342854,40.959244330443,,,3.8991270611057,37.215909090909,62.784090909091,38.268156424581,32.327837051406,197.26983805398,0.96799274247441
1200,SVN,Slovenia,2011,9.9275290380224,0.97425862572053,6.0018862305172,100.46659386479,,,57.111604921478,0.28603371058391,60.344337275524,0.30222429797546,41.387266983145,,,3.8142292490119,48.623853211009,51.376146788991,52.136752136752,,117.455942197,0.58825800855937
1201,SVN,Slovenia,2012,4.9638384369866,0.48610729651913,6.0019756076979,100.21493420432,,,38.328118279531,0.19860276335885,54.298167562669,0.28135391475837,41.387266983145,,,3.8090049036604,41.379310344828,58.620689655172,54.054054054054,,92.6262858422,0.47995667811722
